conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1965403357402857565,Tue Sep 09 13:14:10 +0000 2025,273,BEM UI resmi mendesak Presiden untuk mencopot Purbaya Yudhi Sadewa dari jabatan Menteri Keuangan. Baru sehari dilantik pernyataannya soal tuntutan rakyat 17+8 dinilai meremehkan dan menyakiti masyarakat. https://t.co/giIT98aIix,1965403357402857565,https://pbs.twimg.com/amplify_video_thumb/1965402846075256840/img/s3R8LRS9wvFYjCXz.jpg,,in,,5,25,110,https://x.com/undefined/status/1965403357402857565,1159475566069731331,
1966004859586678848,Thu Sep 11 05:04:19 +0000 2025,61,Eksekutif sudah siap sekarang tinggal wakil rakyat DPR RI apakah ingin molor lagi? ingat 17+8 Tuntutan Rakyat Salah satu tuntutan yang disampaikan adalah untuk segera mengesahkan dan menegakkan UU Perampasan Aset Koruptor. https://t.co/gKn7TRJESX,1966004859586678848,https://pbs.twimg.com/amplify_video_thumb/1966003041771073537/img/pc_JYk8aIYrgGRxK.jpg,,in,,1,6,22,https://x.com/undefined/status/1966004859586678848,3797534720,
1965409120565305362,Tue Sep 09 13:37:04 +0000 2025,2,Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa yang baru dilantik viral setelah menyebut tuntutan 17+8 merupakan suara sebagian kecil rakyat. #TheIconomics #News #BeritaTerkini #kemenkeu #purbayayudhisadewa https://t.co/Q4DNGEKr9P,1965409120565305362,https://pbs.twimg.com/amplify_video_thumb/1965409021822992386/img/Saa3DOft1jqUYVwZ.jpg,,in,,1,1,2,https://x.com/undefined/status/1965409120565305362,1169861863426818048,
1965330401700045017,Tue Sep 09 08:24:16 +0000 2025,79,Belum sehari menjabat Menteri Keuangan Purbaya Yudhi Sadewa menuai kritik atas pernyataannya terkait 17+8 Tuntutan Rakyat. Dalam konferensi pers Senin (8/9/2025) ia menyebut aspirasi itu hanya berasal dari sebagian kecil rakyat . Ucapannya dinilai tidak empati. Purbaya https://t.co/sItnywTcKD,1965330401700045017,https://pbs.twimg.com/amplify_video_thumb/1965329793400143874/img/l3LRAV8z8AnV-cxn.jpg,,in,,24,75,31,https://x.com/undefined/status/1965330401700045017,23343960,
1966787437721505964,Sat Sep 13 08:54:11 +0000 2025,0,17+8 tuntutan rakyat sebagian sudah dipenuhi https://t.co/Q9vtkTDSVv,1966787481245810873,https://pbs.twimg.com/media/G0tuyoOaoAAPNYS.jpg,GarrySnailpo,in,,0,1,0,https://x.com/undefined/status/1966787481245810873,1564630530603499524,
1965335430158844070,Wed Sep 10 08:05:33 +0000 2025,1,@kompascom 17+8 Tuntutan Rakyat tampaknya harus direvisi dan atau di tambah!!,1965688080066904546,,kompascom,in,,0,0,0,https://x.com/undefined/status/1965688080066904546,1848659256679313408,
1965649270922735822,Wed Sep 10 05:31:20 +0000 2025,0,Anggap Enteng 17+8 Tuntutan Rakyat Ekonom: Menkeu Purbaya Jangan Remehkan Suara Publik. Saat ini rakyat membutuhkan keseimbangan ekonomi dan Purbaya harus berani mengambil resiko dengan tetap melihat realita yang ada. https://t.co/xhmz0e5Iuv https://t.co/HpmB4E9pTT,1965649270922735822,https://pbs.twimg.com/media/G0djl31bgAAtIf9.jpg,,in,,0,0,0,https://x.com/undefined/status/1965649270922735822,1866478058582257664,
1966785736893755786,Sat Sep 13 08:47:52 +0000 2025,0,17+8 tuntutan rakyat sebagian sudah dipenuhi https://t.co/nabdoZRgKK,1966785892372353439,https://pbs.twimg.com/media/G0ttWLRasAALxJ7.jpg,HidupNusantara,in,,0,1,0,https://x.com/undefined/status/1966785892372353439,1564623681393131524,
1965729587872350643,Wed Sep 10 10:50:29 +0000 2025,1,Josua Pardede menyebut bahwa aksi demo tuntutan 17+8 merupakan pekerjaan rumah (PR) yang berat untuk Menkeu baru. Benarkah demikian? Selengkapnya di TOP ECONOMY dengan tema USAI GANTI PEMAIN INTI TIM EKONOMI : https://t.co/JRAwzAOKqE #TopEconomyMetroTV #TopEconomy #TopNews https://t.co/IeSbRZxASc,1965729587872350643,https://pbs.twimg.com/amplify_video_thumb/1965727722996654081/img/eLyzJfUjJYtW3sVu.jpg,,in,,0,0,0,https://x.com/undefined/status/1965729587872350643,57261519,
1965397275821080634,Tue Sep 09 12:50:00 +0000 2025,15,Disorot Usai Remehkan 17+8 Tuntutan Rakyat Purbaya Minta Maaf https://t.co/lXgLkom4no,1965397275821080634,,,in,,9,7,5,https://x.com/undefined/status/1965397275821080634,4187275698,
