text,datetime,time_text
"akuilah kalian ini yang melemahkan dan menunggangi gerakan. orang lain merespon dengan kemarahan sementara kalian imajinasinya mentok dengan aturan persuratan? ohh dude, come on",2025-09-15T10:14:02.000Z,15 Sep
Giliran ada yg gerak malah dimusuhin wk. Gak ketolong lo semua,2025-09-15T15:12:37.000Z,15 Sep
Buat Transparansi Arah Kebijakan Dan Gerakan Seperti Ini...Agar Bisa Diakses Oleh Semua Orang...File Lengkap Ada Di Link Di Bio...,2025-09-15T09:41:46.000Z,15 Sep
Jadi ini rasanya diboncengi NICA,2025-09-15T06:53:31.000Z,15 Sep
semua influencer IQ 17+8 cuma bawa celaka gak usah didengerin.,2025-09-14T20:36:12.000Z,15 Sep
Reformasi yang semi reset aja gagal total.. ginian emang ngefek? Kek nya cuma geli2 doang.. anehnya sudah muncul pahlawan2 influencer tanpa perubahan apa-apa.. gini2 aja..,2025-09-14T04:30:37.000Z,14 Sep
Org indonesia emg ga pantes diselamatkan.   Selalu keras ke org baik yg mau susah payah bersuara. Terlalu sombong untuk berdiri dibelakang seakan mereka paling pantas kena spotlight.,2025-09-15T12:30:28.000Z,15 Sep
Gak akan ribet kl pas awal ketemu dpr mereka punya nama organisasi. Misal : - Pejuang pinky - Aliansi influencer kece - Abang None fafifu Dll  Sekarang udh terlanjur dianggap sekelompok narsis yg sok2an jd perwakilan  seluruh perjuangan tanpa dipilih. Diorbit tempo pula. Wkwkwkwk,2025-09-15T10:30:35.000Z,15 Sep
"nepal udah berbenah, disini masih mimpi basah",2025-09-15T08:48:36.000Z,15 Sep
"I appreciate Afu, Ferry, Andovi, dkk but I don’t think this would be the outcome, you can use another cover tho, my 2nd time got upset by Tempo",2025-09-15T13:27:06.000Z,15 Sep
Bukti kalo kita terlalu fokus ke siapa bukan ke apa ckck,2025-09-15T22:58:56.000Z,16 Sep
"Oalah lulusan harvard, pantes dipuja puja ma warga yang terobsesi ma latar belakang pendidikan bukan kepribadian seseorang  Skiplah muka dia ga enak diliat",2025-09-15T12:41:33.000Z,15 Sep
"kalo ngeliat drama² kayak gini, kayaknya wajar aja deh Indonesia ga usah merdeka sekalian.  dari jaman proklamasi begini terus.",2025-09-15T18:50:38.000Z,16 Sep
"Perasaan demo akhir agustus diinisiasi salah satu serikat buruh deh, ada gak dari influncer yg dapat spotlight ini memberikan kredit khusus untuk serikat buruh?",2025-09-15T17:31:28.000Z,16 Sep
"Klo ga ada 3 yg plg penting  gakkan bs 17+8 itu jln. Kesannya mlh menurunkan prio dr 3 yg terpenting itu. Dan yg namanya tuntutan hrs singkat, jelas terukur dan terpenting. Klo byk dan panjang namanya wish list.",2025-09-14T01:39:11.000Z,14 Sep
Kalo banyak yg ngerasa ga terwakili  diupdate lagi aja tuntutannya jadi 1945,2025-09-15T09:18:04.000Z,15 Sep
Fungsi dia cuma jadi AI overview tiba-tiba jadi wajah pergerakan,2025-09-15T08:23:12.000Z,15 Sep
Siapa dia? Sejak kapan mewakili aspirasi kami?,2025-09-15T08:23:12.000Z,15 Sep
Please remind me why people dislike her??,2025-09-15T13:28:33.000Z,15 Sep
"17+8 gagal krn emang suruhan ODGJ  skrg bebalik haluan ngedukung pemerintah sambil nusuk dr belakang pengkhianat"" bangsa kalian"" itu sgt menjijikan",2025-09-15T00:02:59.000Z,15 Sep
"Durasi pemenuhan tuntutan adalah jebakan setan. Bagi yang berkuasa, makin lama durasi akan semakin kuat mempertahankan. Bagi yang menuntut, akan semakin lelah dan kehabisan energi serta banyak penumpang gelap membelokkan.",2025-09-15T22:28:14.000Z,16 Sep
"halah tempo beraninya cm mengkritik, giliran dikritik, adminnya ngumpet, jurnalis macam apa kalian ini",2025-09-15T12:20:59.000Z,15 Sep
"Yok orang² baik & pintar, buatlah rencana & aksi yg sempurna buat ngelawan kebatilan. Ga usah utamakan support satu sama lain dulu, biasakan no.1 adalah berdebat dg argumen² yg cerdas itu ketika ada yg mencoba bergerak, karena berbuat baik itu harus sempurna ngga ada kekurangan.",2025-09-15T18:30:50.000Z,16 Sep
Gerakan jangka panjang tetapi menghilangkan tuntutan adili biang masalah di negeri ini ?,2025-09-15T22:59:01.000Z,16 Sep
"Jangka panjang tai kucing, oportunis.., duri dalam daging, spotlight hunter, payah aktivis elitis.., kalo mau hidup dijalan perjuangan, lu minum dulu tuh keringat orang miskin. Dari semua rangkaian aksi kemarin, cuma (Alm) Affan yg murni jadi penggerak, walaupun nyawa taruhannya.",2025-09-15T22:27:38.000Z,16 Sep
Tempo ga mau buka ruang diskusi di X sini kenapa ngangkat blionya itu? Cc:  @BocorAlusPol,2025-09-15T11:14:47.000Z,15 Sep
kak afu i'm admiring you tapi ini salah langkah hiks,2025-09-15T13:24:48.000Z,15 Sep
ini tempo jg ngapain ngasih panggung sih,2025-09-15T12:01:37.000Z,15 Sep
